English, Bahnar
"O inhabitant of Lachish, Harness the chariot to the swift steeds (She was the beginning of sin to the daughter of Zion), For the transgressions of Israel were found in you.","Ơ kon pơlei Laki, iŏk bĕ aseh hrơ̆t kơdâu năm tơ gre! Noh ih boih tơm pơm ăn kơ adruh Siôn pơm yoch; yua kơ tơdrong yoch Isơrael 'bôh lăm ih."
"Therefore you shall give presents to Moresheth Gath; The houses of Achzib shall be a lie to the kings of Israel.","Thoi ei na, ih gô ăn tơmam lăng jơ̆ng ti tơklah băl pơlei Môresêt Gat. Lu kon pơlei Aksip gô hơlĕnh pơdăr kơ lu pơtao Isơrael."
"I will yet bring an heir to you, O inhabitant of Mareshah; The glory of Israel shall come to Adullam.","Ơ kon pơlei Maresa, Inh gô ba minh 'nu bơngai truh tơ ih wă blah iŏk mŭk tơmam hnam dơnŏ. Tơdrong ư-ang kơ Isơrael gô truh pơlei Ađulam."
"Make yourself bald and cut off your hair, Because of your precious children; Enlarge your baldness like an eagle, For they shall go from you into captivity.","Inh athei hơkôih lê̆ sŏk ih yuă jing 'ngôch kơ kon sâu mă ih kơeng; hơkôih bĕ kơ̆l 'ngôch thoi sem grơ̆, yua kơ lu kon hơ'lơ̆p gô tơklah đơ̆ng ih lu sư gô pơm bơnă."
"Woe to those who devise iniquity, And work out evil on their beds! At morning light they practice it, Because it is in the power of their hand.","Răm-'băm tơpă kơ bơngai bu chă đon kơnê̆ 'maih pơm tơdrong yoch tơ kơpal giơng sư kơdih, truh pơgê hrôih lu sư pơm tơdrong lu sư tơchĕng lê̆ boih. Yua kơ lu sư gơh pơm tơdrong thoi noh!"
"They covet fields and take them by violence, Also houses, and seize them. So they oppress a man and his house, A man and his inheritance.","Lu sư 'ngeng kơ mir chŭn na tơgar iŏk. 'Ngeng kơ hnam đe păng tơgar iŏk hloi mŭk tơmam sư."
"Therefore thus says the LORD: “Behold, against this family I am devising disaster, From which you cannot remove your necks; Nor shall you walk haughtily, For this is an evil time.","Thoi noh na, Kră Yang khan thoi âu: “'Nâu Inh gô pơm tơwih kơ lu adrĕch adrung âu. Minh tơdrong truh pơmat-tat mă lu iĕm kư̆m ưh kơ gơh klaih ôh, lu iĕm ưh pă gơh yak ngơk kơ̆l chhôk hal, yua kơ 'noh jơ̆ năr pơmat-tat."
"In that day one shall take up a proverb against you, And lament with a bitter lamentation, saying: ‘We are utterly destroyed! He has changed the heritage of my people; How He has removed it from me! To a turncoat He has divided our fields.’ ”","Lăm năr noh kơnh, đe gô hơri minh tơdrong pơjăm pơjuă iĕm, đe gô nhơ̆m hmoi ơh sơ'ngon dêh păng khan: Lu bơ̆n âu đe pơlôch pơrăm đĭ boih! Sư iŏk lê̆ teh inh jang sa. Lu sư iŏk đơ̆ng inh, iŏk teh chŭn mir bơ̆n klaih asong ăn kơ bơngai ayăt."
"Therefore you will have no one to determine boundaries by lot In the assembly of the LORD.","Thoi noh lăm khŭl Kră Yang, ưh kơ đei minh 'nu gơh hlang lăng dăng tơlei plaih song băl teh choh sa”"
"“Do not prattle,” you say to those who prophesy. So they shall not prophesy to you; They shall not return insult for insult.","“'Nĕ pă bơtho dơ̆ng,” lu sư bơtho. Lu sư ưh kơ bơtho tơdrong noh, Tơdrong mơlâu ưh kơ weh đơ̆ng lu sư."
"You who are named the house of Jacob: “Is the Spirit of the LORD restricted? Are these His doings? Do not My words do good To him who walks uprightly?","Ơ hnam Jakôp! Hăm trŏ đe khan tơdrong 'nâu Yang Bơhngol 'Lơ̆ng Kră Yang ưh kơ gơh pơm tôm tơdrong hă? 'Nâu hăm trŏ tơdrong Sư pơm? Hăm trŏ kơ nơ̆r Inh pơma pơyua kơ lu bơngai mă kiơ̆ tơdrong tơpăt."
"“Lately My people have risen up as an enemy— You pull off the robe with the garment From those who trust you, as they pass by, Like men returned from war.","Mă-lei 'nao brei mơsơ̆ lu kon pơlei Inh blah plơ̆ thoi ayăt, lu bơngai mă yak rok trong 'nâu hiôk-hian, ưh kơ wă tơblah ôh, lu iĕm athei plôh iŏk ao tai 'nguaih đơ̆ng lu sư, lê̆ lăi kơ lu sư ao lăm đĕch."
"The women of My people you cast out From their pleasant houses; From their children You have taken away My glory forever.","Lu iĕm pơpuh lu bơngai drŏ-kăn, kon pơlei ih lĕch đơ̆ng hnam chơt hiôk lu sư; păng iŏk tơdrong ư-ang Inh đơ̆ng lu kon hơ'lơ̆p sư ling-lang hlŏng hloi."
"“Arise and depart, For this is not your rest; Because it is defiled, it shall destroy, Yes, with utter destruction.","Lu iĕm iung bĕ! Weh bĕ! Yua kơ 'nâu ưh kơ sĭ ăn kơ iĕm pơdơh hiôk ôh, yua kơ tơdrong kơnê̆ 'mê̆-'mach pơrăm boih, tơnat pat dêh tơpă."
"If a man should walk in a false spirit And speak a lie, saying, ‘I will prophesy to you of wine and drink,’ Even he would be the prattler of this people.","Tơdah đei bơngai bu kiơ̆ tơdrong hiong răm păng pơma hơlĕnh khan: Inh gô pơma khan lê̆ adrol kơ lu iĕm gah đak sik hơmu păng đak hơmu păng đak tơdrô, bơngai noh jing trŏ bơngai khan lê̆ adrol kơ kon pơlei 'nâu!"
"“I will surely assemble all of you, O Jacob, I will surely gather the remnant of Israel; I will put them together like sheep of the fold, Like a flock in the midst of their pasture; They shall make a loud noise because of so many people.","Ơ Jakôp sĭt Inh gô akŭm pơpôi lu iĕm, tơpă Inh gô akŭm lu bơngai Isơrael mă oei oei, akŭm pơpôi lu sư hơdai hơbĭ hăm triu Bôira minh pôm hơdrong, thoi lu triu lơ lăm tơmăn 'nhĕt lu sư, gô đei nơ̆r hmoi lơ ô-ôs ơ-as thoi đei bơngai lơ."
"The one who breaks open will come up before them; They will break out, Pass through the gate, And go out by it; Their king will pass before them, With the LORD at their head.”","Đei bơngai pơih trong adrol kơ lu sư, lu sư tơkan lĕch truh tơ 'măng jang pơlei, pơtao lu sư rok yak adrol kơ lu sư păng Kră Yang boih Tơ'ngla ba trong lu sư."
"And I said: “Hear now, O heads of Jacob, And you rulers of the house of Israel: Is it not for you to know justice?","Thoi noh na inh khan thoi âu: Lu yŏng kơdră Jakôp păng lu bơngai pơgơ̆r hnam Isơrael, mơ̆ng bĕ! Hăm trŏ kơ lu iĕm athei băt kơ tơdrong tơpăt?"
"You who hate good and love evil; Who strip the skin from My people, And the flesh from their bones","Ơ lu areh kơ tơdrong 'lơ̆ng wă kơ tơdrong kơnê̆, lu iĕm lŏng akar lu kon pơlei Inh, hleh sĕch đơ̆ng kơting lu sư."
"Who also eat the flesh of My people, Flay their skin from them, Break their bones, And chop them in pieces Like meat for the pot, Like flesh in the caldron.”","Lu iĕm sa sĕch lu kon pơlei Inh, lŏng hiŏng iŏk akar gơ̆ lê̆ kơting, lu sư rơkhŭl rơkhăl thoi wă tah pai lăm gŏ, kư̆m thoi 'nhĕm sĕch tơ lăm gŏ glah."
"Then they will cry to the LORD, But He will not hear them; He will even hide His face from them at that time, Because they have been evil in their deeds.","Kơplah ei lu sư gô krao apinh Kră Yang, mă-lei Kră Yang ưh kơ tơl tơwih, tơpă Kră Yang ôn muh măt Sư kơ lu đe noh lăm kơplah noh kiơ̆ thoi tơdrong kơnê̆ lu sư đei pơm boih."
"Thus says the LORD concerning the prophets Who make my people stray; Who chant “Peace” While they chew with their teeth, But who prepare war against him Who puts nothing into their mouths","'Nâu jơ̆ nơ̆r Kră Yang khan gah lu bơngai khan lê̆ adrol, chông kon pơlei Inh na jrok trong, lu bơngai mă ăn rơnŭk rơnua tơmam sa lăm 'bơ̆r lu sư, lu sư khan: Wă tơblah hăm lu bơngai mă ưh kơ ăn tơmam sa kơ lu sư."
"“Therefore you shall have night without vision, And you shall have darkness without divination; The sun shall go down on the prophets, And the day shall be dark for them.","Yua kơ thoi noh măng mu gô gom lê̆ lu iĕm na ưh pă đei tơdrong kiơ tơ'bôh kơ lu iĕm lu iĕm gô oei lăm măng mu na ưh pă đei khan lê̆. Adrol dơ̆ng, măt 'năr gô mơ̆t măng mu kơ lu bơngai khan lê̆ adrol noh păng kơ'năr gô jing măng mu tăp dăr kơ lu sư."
"So the seers shall be ashamed, And the diviners abashed; Indeed they shall all cover their lips; For there is no answer from God.”","Lu bơngai ngăl băt lê̆ adrol gô mơlâu păng lu bơngai khan lê̆ adrol gô mơlâu plơ̆m. Đĭ-đăng lu sư gô đơ̆p lê̆ 'bơ̆r lu sư, 'Bok Kei-Dei kư̆m pă đei tơl tơwih nơ̆r lu sư krao apinh."
"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin.","Mă-lei gah inh, inh 'bĕnh kơ tơdrong pran kơtang, tơdrong sek tơlang păng đei jơhngơ̆m nuih yua kơ đơ̆ng Yang Bơhngol 'Lơ̆ng Kră Yang, wă roi ăn kơ Jakôp gah tơdrong sư pơm yoch, roi ăn kơ Isơrael gah tơdrong yoch lu sư."
"Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity","Ơ lu kơdră hnam Jakôp păng lu bơngai pơgơ̆r hnam Isơrael, mơ̆ng bĕ nơ̆r âu, iĕm areh kơ tơdrong trŏ păng wă pơrăm pơrai tơdrong tơpăt hơnơ̆ng."
"Who build up Zion with bloodshed And Jerusalem with iniquity","Lu iĕm pơjing pơlei Siôn hăm pham păng iŏk tơdrong kơnê̆ pơjing pơlei Jêrusalem."
"Her heads judge for a bribe, Her priests teach for pay, And her prophets divine for money. Yet they lean on the LORD, and say, “Is not the LORD among us? No harm can come upon us.”","Lu bơngai sek tơlang sek pơgâm, lu 'bok soi bơtho tơ'bôh yua kơ jên đe apah, bê̆ gah lu bơngai khan lê̆ adrol pơma tơ'bôh kư̆m yua kơ jên. Mă-lei lu sư pơm gơnang kơ Kră Yang na khan: Kră Yang ưh kơ oei lăm lu bơ̆n hă? Tơdrong răm huay kơ truh tơ lu bơ̆n ôh!"
"Therefore because of you Zion shall be plowed like a field, Jerusalem shall become heaps of ruins, And the mountain of the temple Like the bare hills of the forest.","Thoi noh yua kơ lu iĕm, Siôn đe gô choh rơuơ thoi chŭn. Jêrusalem gô pơchah pơchek jing rơ̆m rĕk kông hnam yang jing thoi bri brah!"
"Now it shall come to pass in the latter days That the mountain of the LORD’s house Shall be established on the top of the mountains, And shall be exalted above the hills; And peoples shall flow to it.","Tơdrong truh lăm năr đơ̆ng rŏng kơnh, hnam Kră Yang gô pơjing pơdơ̆ng pơm hơtŏk tơ rim kơ̆l kông kơjung păng đe kư̆m gô tơiung sư rai dêh hloh kơ lu kông groi. Lu kon pơlei gô jur năm luh leng tơ noh"
"Many nations shall come and say, “Come, and let us go up to the mountain of the LORD, To the house of the God of Jacob; He will teach us His ways, And we shall walk in His paths.” For out of Zion the law shall go forth, And the word of the LORD from Jerusalem.","păng gô đei đơ̆ng lơ teh đak năm tơ noh păng khan: Năm bĕ lu bơ̆n năm truh tơ kông Kră Yang, anih hnam 'Bok Kei-Dei Jakôp! Sư gô bơtho tơ'bôh kơ lu bơ̆n trong Sư păng lu bơ̆n gô yak kiơ̆ trong Sư, yua kơ khôi juăt gô lĕch đơ̆ng Siôn, nơ̆r Kră Yang gô lĕch đơ̆ng Jêrusalem."
"He shall judge between many peoples, And rebuke strong nations afar off; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore.","Sư gô pơjing tơdrong sek tơlang tơ rim adrĕch adrung, sek tơbăt tơpăt kơ dôm lu dêh char pran kơtang oei tơ anih ataih; păng lu sư gô iŏk đao hơjơ̆m pơm pla 'nhik choh, iŏk hơlă pơm pla săng kô; dêh âu pă đei iung blah dêh nai păng kư̆m pă đei pơhrăm tơdrong wă tơblah dơ̆ng."
"But everyone shall sit under his vine and under his fig tree, And no one shall make them afraid; For the mouth of the LORD of hosts has spoken.","Rim 'nu gô tơoei ala tơm hơmu sư kơdih păng ala tơm 'long hơra sư, ưh pă đei bu wă pơm kơ lu sư hli tơtăm; yua kơ nơ̆r đơ̆ng 'bơ̆r Kră Yang Tih Hloh khan thoi noh boih."
"For all people walk each in the name of his god, But we will walk in the name of the LORD our God Forever and ever.","Rim adrĕch bu bu kư̆m kiơ̆ anăn sư kơdih; păng lu bơ̆n gô yak kiơ̆ anăn Kră Yang 'Bok Kei-Dei lu bơ̆n ling-lang hlŏng hloi."
"“In that day,” says the LORD, “I will assemble the lame, I will gather the outcast And those whom I have afflicted","Kră Yang khan: Lăm năr noh Inh gô akŭm pơpôi lu bơngai jo jăn păng sơng iŏk lu bơngai mă đe pơpuh tơweh. Lu bơngai mă Inh đei pơm ăn lu sư ơh sơ'ngon."
"I will make the lame a remnant, And the outcast a strong nation; So the LORD will reign over them in Mount Zion From now on, even forever.","Đơ̆ng noh Inh gô ăn lu bơngai jo jăn jing kon pơlei mă oei oei păng lu bơngai mă đe pă lăng gô jing minh dêh char pran kơtang, Kră Yang gô pơgơ̆r lu sư tơ kông Siôn đơ̆ng dang ei truh tơ ning-mônh."
"And you, O tower of the flock, The stronghold of the daughter of Zion, To you shall it come, Even the former dominion shall come, The kingdom of the daughter of Jerusalem.”","Gah ih ơ hnam Thôt wei triu, ơ kông groi Ôphel, ơ kon drŏ-kăn Siôn, tơdrong pơgơ̆r lu iĕm so sơ̆ wă khan teh đak drŏ-kăn Jêrusalem, gô truh tơ ih."
"Now why do you cry aloud? Is there no king in your midst? Has your counselor perished? For pangs have seized you like a woman in labor.","Yua kơ kiơ iĕm krao ôr thoi noh? Lu iĕm ưh kơ đei pơtao hă? Dah mă lu bơngai nuih pran hơgei sư lôch boih, na iĕm mah ôr thoi bơngai drŏ-kăn tơpŭ?"
"Be in pain, and labor to bring forth, O daughter of Zion, Like a woman in birth pangs. For now you shall go forth from the city, You shall dwell in the field, And to Babylon you shall go. There you shall be delivered; There the LORD will redeem you From the hand of your enemies.","Ơ lu drŏ-kăn Siôn, jĭ pơmat gleh hrat thoi drŏ-kăn tơpŭ wă kơ đei hơ'lơ̆p! Yua kơ lu iĕm đe gô tơlĕch weh đơ̆ng lăm pơlei păng lu iĕm gô oei tơ lăm chŭn păng gô năm oei tơ char Babilôn. Oei tơ noh lu iĕm gô đei tơdrong dŏng pơklaih đơ̆ng noh, tơ noh Kră Yang gô huai iŏk iĕm tơlĕch iĕm đơ̆ng ti lu bơngai ayăt kơ iĕm."
"Now also many nations have gathered against you, Who say, “Let her be defiled, And let our eye look upon Zion.”","Dang ei đei lơ teh đak akŭm băl wă ayăt păng ih khan thoi âu: Thŭ lu linh jing 'mê̆ yoch păng thŭ măt lu bơ̆n 'bôh tơdrong mă lu sư 'maih wă gô truh tơ Siôn!"
"But they do not know the thoughts of the LORD, Nor do they understand His counsel; For He will gather them like sheaves to the threshing floor.","Mă-lei lu sư ưh kơ băt kơ tơdrong 'Bok Kei-Dei wă lăp đon, ưh kơ băt hlôh kơ Kră Yang tơchĕng; yua kơ Kră Yang đei akŭm pơpôi lu sư thoi hơchô̆ 'ba tơ anih đe pơjuă 'ba."
"“Arise and thresh, O daughter of Zion; For I will make your horn iron, And I will make your hooves bronze; You shall beat in pieces many peoples; I will consecrate their gain to the LORD, And their substance to the Lord of the whole earth.”","Thoi noh ơ kon drŏ-kăn Siôn, iung bĕ, pơjuă 'ba bĕ! Yua kơ Inh gô pơm ăn kơ hơke ih jing bơsei, kơchôp ih jing mam kong, ih gô pơjuă lơ kon pơlei"
"","păng lu iĕm gô pơyơ̆r ăn kơ Kră Yang tơmam lơi đơ̆ng lu sư, tơdrong pran kơtang lu sư lu iĕm gô pơyơ̆r ăn kơ Kră Yang mă jơ̆p kơ teh đak."
"Now gather yourself in troops, O daughter of troops; He has laid siege against us; They will strike the judge of Israel with a rod on the cheek.","Ơ Betlehem Eprata, ih jing pơlei iĕ hloh lăm rơbâu pơlei lăm char Juđa, Mă-lei đơ̆ng ih gô tơpŭ ăn kơ inh minh 'nu Kră Yang Sư gô pơgơ̆r lu bơngai Isơrael; Sư đei đơ̆ng tơm hmơm blŭng-a sơ̆ boih, đơ̆ng adrol kơ đĭ-đăng."
"“But you, Bethlehem Ephrathah, Though you are little among the thousands of Judah, Yet out of you shall come forth to Me The One to be Ruler in Israel, Whose goings forth are from of old, From everlasting.”","Thoi noh Sư gô jao lu đe noh kơ lu bơngai ayăt kơ Sư dĭng tơ bơngai drŏ-kăn tơpŭ kơ Sư, tơpŭ boih păng lu bơngai Isơrael mă oei oei đơ̆ng lu 'nhŏng oh Sư, lu sư gô wih brŏk tơ kon sâu bơngai Isơrael."
"Therefore He shall give them up, Until the time that she who is in labor has given birth; Then the remnant of His brethren Shall return to the children of Israel.","Sư gô dơ̆ng kơjăp păng gô gơnang kơ tơdrong pran kơtang đơ̆ng Kră Yang hăm tơdrong rŏ hơbŏ anăn Kră Yang 'Bok Kei-Dei Sư kơdih păng wei-lăng khŭl Sư kơdih; păng lu sư gô oei rơnŭk, yua kơ kơplah noh gô pơm tih hloh kơ đĭ-đăng bơngai tôch kơ teh."
"And He shall stand and feed His flock In the strength of the LORD, In the majesty of the name of the LORD His God; And they shall abide, For now He shall be great To the ends of the earth","Noh Sư boih gô pơm kơ bơ̆n rơnŭk rơnua. Tơdah lu bơngai Asiri wă truh tơ lăm teh đak lu bơ̆n păng pơjuă hnam yang bơ̆n, na lu bơ̆n gô iung tơpơh 'nu bơngai wei-lăng păng tơhngam 'nu kuan pơgơ̆r lu kon pơlei na iung blah plơ̆ lu sư."
"And this One shall be peace. When the Assyrian comes into our land, And when he treads in our palaces, Then we will raise against him Seven shepherds and eight princely men.","Lu sư gô yua đao blah pơrăm dêh Asiri păng lu 'măng jang Nimrôt; păng Sư gô dŏng pơklaih bơ̆n đơ̆ng lu bơngai Asiri, tơdah lu sư mơ̆t lăm teh đak bơ̆n păng teh pơjuă lăm anih noh."
"They shall waste with the sword the land of Assyria, And the land of Nimrod at its entrances; Thus He shall deliver us from the Assyrian, When he comes into our land And when he treads within our borders.","Gah lu bơngai khŭl Jakôp mă oei oei gô oei tŏk-bŏk lăm adrĕch adrung thoi tŭk kiơ̆ pơgê jur đơ̆ng Kră Yang thoi 'mi hngach tuh kơpal 'nhĕt ưh kơ gô đơ̆ng kon bơngai păng kư̆m ưh kơ chang hơmĕng đơ̆ng kon bơngai."
"Then the remnant of Jacob Shall be in the midst of many peoples, Like dew from the LORD, Like showers on the grass, That tarry for no man Nor wait for the sons of men.","Lu bơngai khŭl Jakôp gô oei tŏk-bŏk lơ teh đak thoi dăm-brang oei tŏk-bŏk lu sem bri păng thoi lu dăm-brang kon oei tŏk-bŏk lu triu, dah lu sư yak năm găn pơjuă pơđep păng kăp hek, ưh kơ đei bu gơh dŏng pơklaih."
"And the remnant of Jacob Shall be among the Gentiles, In the midst of many peoples, Like a lion among the beasts of the forest, Like a young lion among flocks of sheep, Who, if he passes through, Both treads down and tears in pieces, And none can deliver.","Apinh ti Kră Yang iung blah lu bơngai ayăt kơ Ih păng dôm lu bơngai mă areh kơ Ih gô pơlôch đĭ?"
"Your hand shall be lifted against your adversaries, And all your enemies shall be cut off.","Kră Yang khan: Inh gô pơrăm đĭ lu aseh păng lu gre aseh lu iĕm đơ̆ng lăm ti lu iĕm."
"“And it shall be in that day,” says the LORD, “That I will cut off your horses from your midst And destroy your chariots.","Inh gô pơrăm đĭ lu pơlei tih lăm char lu iĕm păng Inh gô tơlơ̆ tŭk lê̆ lu kơđông kơjăp lu iĕm."
"I will cut off the cities of your land And throw down all your strongholds.","Inh gô pơrăm lê̆ tơdrong lu pơjâu tơwir, thoi noh na lu iĕm ưh pă đei pơjâu khan lê̆ adrol dơ̆ng."
"I will cut off sorceries from your hand, And you shall have no soothsayers.","Inh gô pơrăm lu rup yang păng lu gơ̆ng soi đêl lu iĕm man. Na lu iĕm ưh pă đei bon kơkuh dơ̆ng."
"Your carved images I will also cut off, And your sacred pillars from your midst; You shall no more worship the work of your hands","Inh gô toh hŭt lê̆ rup yang Aserim đơ̆ng lu iĕm. Đơ̆ng noh Inh gô pơrăm lê̆ đĭ dôm lu pơlei tih lu iĕm."
"I will pluck your wooden images from your midst; Thus I will destroy your cities.","Inh gô iung kơting, hil areh păng Inh gô pơm 'mong kơ teh đak mă ưh kơ chu kiơ̆ nơ̆r Inh."
"And I will execute vengeance in anger and fury On the nations that have not heard.”","Lăm tơdrong hil mĭl tơtŏ, Inh gô pơm tơwih tơdrong yoch kơnê̆ lu kon pơlei kuă kơ chu yom kơ Inh."
"Hear now what the LORD says: “Arise, plead your case before the mountains, And let the hills hear your voice.","Dang ei athei mơ̆ng nơ̆r Kră Yang khan: Iung bĕ ih, athei pơma bĕ hăm lu kông păng ăn kơ lu kông groi kơtơ̆ng nơ̆r ih!"
"Hear, O you mountains, the LORD’s complaint, And you strong foundations of the earth; For the LORD has a complaint against His people, And He will contend with Israel.","Ơ lu kông păng lu hơnă teh kơjăp ling-lang, mơ̆ng bĕ nơ̆r đơ̆ng Kră Yang pơma hil! Yua kơ Kră Yang pơma chrih dơ̆ng kơ kon pơlei Sư păng Sư gô pơma hil dơ̆ng kơ kon pơlei Sư."
"“O My people, what have I done to you? And how have I wearied you? Testify against Me.","Ơ kon pơlei inh gô đei pơm kiơ kơ ih? Inh đei pơgleh pơmat ih kiơ? Pơm kơdranh plơ̆ kơ inh bĕ."
"For I brought you up from the land of Egypt, I redeemed you from the house of bondage; And I sent before you Moses, Aaron, and Miriam.","Inh đei chông anhăk ih lĕch hlôi đơ̆ng teh đak Êyiptơ, huai iŏk ih đơ̆ng pơm đĭch đam păng kư̆m đei wơh Môis Arôn, Miriam yak adrol chông lu iĕm."
"O My people, remember now What Balak king of Moab counseled, And what Balaam the son of Beor answered him, From Acacia Grove to Gilgal, That you may know the righteousness of the LORD.”","Ơ kon pơlei pơla Inh, athei 'blŏk bĕ kơ Balak pơtao Môap đei chă đon kơnê̆ păng nơ̆r Balaam kon drŏ-nglo Bêôr tơl lu sư; athei 'blŏk bĕ kơ tơdrong Inh đei pơm đơ̆ng Sitim truh tơ Gilgal, wă kơ ih băt tơdrong 'lơ̆ng tơpăt Kră Yang!"
"With what shall I come before the LORD, And bow myself before the High God? Shall I come before Him with burnt offerings, With calves a year old?","Inh gô chĕp ba tơmam kiơ̆ 'bơ̆t anăp Kră Yang păng drap kơkuh 'bơ̆t anăp 'Bok Kei-Dei Kră Yang Tih Hloh. Inh gô năm dơ̆ng 'bơ̆t anăp Sư hăm tơmam soi 'buh kon rơmo 'nao minh sơnăm hă?"
"Will the LORD be pleased with thousands of rams, Ten thousand rivers of oil? Shall I give my firstborn for my transgression, The fruit of my body for the sin of my soul?","Hăm trŏ Kră Yang lăp đon rơbâu tŏ triu tơno, dah hơngan glung đak rơmă ôliwơ ưh? Hăm trŏ inh pơyơ̆r kon kơdră inh yua kơ inh pơm glăi păng plei đơ̆ng blu pôih inh yua kơ tơdrong yoch hăm bơhngol inh?"
"He has shown you, O man, what is good; And what does the LORD require of you But to do justly, To love mercy, And to walk humbly with your God?","Ơ kon bơngai: Tơdrong mă Kră Yang wă kơ ih pơm 'lơ̆ng tơpăt, wă kơ đei tơdrong 'mêm mơnat păng yak năm hăm jơhngơ̆m iơ̆m dim, pơyom kơ 'Bok Kei-Dei ưh?"
"The LORD’s voice cries to the city— Wisdom shall see Your name: “Hear the rod! Who has appointed it?","Mơ̆ng bĕ nơ̆r Kră Yang krao pơret blah hăm pơlei âu, bơngai hơgei athei hli yom kơ anăn Sư. Mơ̆ng bĕ 'long jra teh na băt kơ bu mă Kră Yang pơkă năm blah."
"Are there yet the treasures of wickedness In the house of the wicked, And the short measure that is an abomination?","Lăm hnam bơngai kơnê̆ hăm oei đei tơmam gĭt kơnê̆ păng 'long kŏng ưh kơ tơpă hơlĕnh mă Inh areh dêh?"
